epoch,epoch_loss,split,loss,acc,sample_fn
0,1.9981625,train,1.5978476,0.4521097248369976,gumbel_soft
0,1.9981625,val,1.6238656,0.45,gumbel_soft
0,1.9981625,test,1.5992247,0.4531155474894132,gumbel_soft
1,1.521079,train,1.456591,0.4941553123371305,gumbel_soft
1,1.521079,val,1.4791603,0.4925287356321839,gumbel_soft
1,1.521079,test,1.4611325,0.4927836833462968,gumbel_soft
2,1.4154872,train,1.3574282,0.5264154355063446,gumbel_soft
2,1.4154872,val,1.3923587,0.5262452107279694,gumbel_soft
2,1.4154872,test,1.3533943,0.5373779275775646,gumbel_soft
3,1.3160267,train,1.2646868,0.5543146452237361,gumbel_soft
3,1.3160267,val,1.2983149,0.5439655172413793,gumbel_soft
3,1.3160267,test,1.2618268,0.5659839253305678,gumbel_soft
4,1.2277904,train,1.1736083,0.5885105885105885,gumbel_soft
4,1.2277904,val,1.1897118,0.5879310344827586,gumbel_soft
4,1.2277904,test,1.1788006,0.5913058508339815,gumbel_soft
5,1.1129634,train,1.0577235,0.6534669261941989,gumbel_soft
5,1.1129634,val,1.093001,0.6448275862068965,gumbel_soft
5,1.1129634,test,1.0639738,0.653876069484055,gumbel_soft
6,1.0193535,train,0.9818058,0.6728251273705819,gumbel_soft
6,1.0193535,val,1.0087131,0.6687739463601533,gumbel_soft
6,1.0193535,test,0.99711317,0.6690865093768905,gumbel_soft
7,0.9724477,train,0.94218147,0.6970866970866971,gumbel_soft
7,0.9724477,val,0.9717607,0.6924329501915709,gumbel_soft
7,0.9724477,test,0.960472,0.698816005531069,gumbel_soft
8,0.9269529,train,0.90562755,0.7033621579076125,gumbel_soft
8,0.9269529,val,0.9309683,0.6953065134099616,gumbel_soft
8,0.9269529,test,0.92158324,0.7014951171031026,gumbel_soft
9,0.9010705,train,0.8870444,0.7075316166225257,gumbel_soft
9,0.9010705,val,0.9065528,0.7029693486590038,gumbel_soft
9,0.9010705,test,0.90888786,0.7045199204908824,gumbel_soft
10,0.8817459,train,0.8649433,0.7189657189657189,gumbel_soft
10,0.8817459,val,0.89480495,0.7127394636015326,gumbel_soft
10,0.8817459,test,0.88711745,0.7140264454239046,gumbel_soft
11,0.8609657,train,0.84599894,0.7251029069210887,gumbel_soft
11,0.8609657,val,0.8947766,0.7115900383141762,gumbel_soft
11,0.8609657,test,0.86484116,0.7192982456140351,gumbel_soft
12,0.8469976,train,0.8383412,0.7269749087930906,gumbel_soft
12,0.8469976,val,0.8551519,0.7167624521072797,gumbel_soft
12,0.8469976,test,0.8621664,0.7227551637714977,gumbel_soft
13,0.83500934,train,0.83131653,0.7316549134730953,gumbel_soft
13,0.83500934,val,0.8606599,0.7204022988505747,gumbel_soft
13,0.83500934,test,0.85832334,0.7216316653703223,gumbel_soft
14,0.8225839,train,0.81830263,0.7362498271589181,gumbel_soft
