epoch,epoch_loss,split,loss,acc,sample_fn
0,1.706936,train,1.5113477,0.40338254531863205,gumbel_soft
0,1.706936,val,1.5221603,0.3949618888269195,gumbel_soft
0,1.706936,test,1.5107089,0.3969567761892818,gumbel_soft
1,1.3654933,train,1.239137,0.4782906621815237,gumbel_soft
1,1.3654933,val,1.2309343,0.48707938278490426,gumbel_soft
1,1.3654933,test,1.2451277,0.4764651784967812,gumbel_soft
2,1.1325494,train,1.0154176,0.5682842251707885,gumbel_soft
2,1.1325494,val,1.0184717,0.5642312697527422,gumbel_soft
2,1.1325494,test,1.0377452,0.5607390686397459,gumbel_soft
3,0.910835,train,0.8012242,0.6654311758965095,gumbel_soft
3,0.910835,val,0.79453164,0.6720580033463469,gumbel_soft
3,0.910835,test,0.8121444,0.6599782626870663,gumbel_soft
4,0.69174635,train,0.58540535,0.7647376399011607,gumbel_soft
4,0.69174635,val,0.58778095,0.7646402677077524,gumbel_soft
4,0.69174635,test,0.58710945,0.7633141041718919,gumbel_soft
5,0.48818812,train,0.40392548,0.8459374156440126,gumbel_soft
5,0.48818812,val,0.39392346,0.8562000371816323,gumbel_soft
5,0.48818812,test,0.4090157,0.8434077418276064,gumbel_soft
6,0.33070198,train,0.27033585,0.9024273759837206,gumbel_soft
6,0.33070198,val,0.25508723,0.908997955010225,gumbel_soft
6,0.33070198,test,0.26870167,0.9040214028927347,gumbel_soft
7,0.22500898,train,0.1832921,0.9373741149110238,gumbel_soft
7,0.22500898,val,0.1783213,0.9374419036995724,gumbel_soft
7,0.22500898,test,0.18087953,0.9393027338851266,gumbel_soft
8,0.15793352,train,0.12965745,0.9568720280736727,gumbel_soft
8,0.15793352,val,0.13328698,0.9538018218999814,gumbel_soft
8,0.15793352,test,0.12972575,0.9564417690828526,gumbel_soft
9,0.112078644,train,0.0939168,0.9686351460786146,gumbel_soft
9,0.112078644,val,0.095750704,0.9695110615356014,gumbel_soft
9,0.112078644,test,0.098857,0.9668924003009782,gumbel_soft
10,0.082438014,train,0.06990468,0.9773977864988891,gumbel_soft
10,0.082438014,val,0.07447993,0.9756460308607547,gumbel_soft
